distance_to_cell_km,rsrp_dbm,rssi_dbm,rsrq_db,sinr_db,interference_dbm,network_load_pct,connected_users,handovers_last_hr,signal_quality_score,signal_quality_label
0.211,-83.81,-64.47,-19.5,2.69,-92.62,67.26,60.0,1,37.36,Fair
1.355,-106.65,,-19.5,-5.74,-103.37,26.93,30.0,3,25.43,Poor
0.593,-102.74,-83.13,-19.5,-10.0,-93.87,61.0,51.0,1,24.88,Poor
0.411,-95.8,-85.16,-10.69,-9.21,-90.07,85.47,67.0,2,24.05,Poor
0.076,-83.97,-69.31,-14.49,2.95,-91.98,61.95,61.0,0,47.47,Fair
0.076,-84.23,-66.09,-16.75,3.97,-94.48,68.41,69.0,0,35.07,Fair
0.027,-71.19,-53.92,-17.26,,-103.91,22.17,26.0,2,64.02,Good
0.905,-109.56,-92.54,-15.79,-5.3,-107.8,33.13,35.0,4,31.76,Poor
0.414,-102.13,-87.08,-14.48,-10.0,-97.35,48.72,47.0,2,26.17,Poor
0.554,-98.81,-85.03,-14.86,-10.0,-86.96,82.97,72.0,1,30.44,Poor
0.02,-70.53,-46.51,-19.5,30.0,-104.79,32.38,49.0,2,65.05,Good
1.577,-106.59,-88.5,-16.1,-8.3,-101.83,55.14,55.0,4,28.27,Poor
0.804,-94.61,-74.69,-18.11,0.55,-100.01,46.95,50.0,3,32.92,Poor
0.107,-84.28,-66.26,-17.3,22.93,-112.92,10.94,29.0,2,58.4,Good
0.09,-80.82,-62.68,-18.45,22.93,-107.44,16.54,27.0,1,58.89,Good
0.091,-87.19,-69.38,-18.09,3.29,-96.28,69.18,76.0,4,43.63,Fair
0.163,-85.24,-70.6,-14.51,3.47,-95.92,59.63,58.0,2,44.31,Fair
0.335,-96.63,-83.17,-14.01,0.52,-101.87,34.18,40.0,1,45.83,Fair
0.254,-91.86,-72.7,-19.5,9.51,-103.0,18.97,34.0,0,43.02,Fair
0.155,-88.29,-69.73,-17.22,6.58,-100.55,16.8,28.0,1,48.34,Fair
0.426,-92.47,,-19.5,12.68,-108.22,10.26,26.0,3,50.03,Fair
0.068,-85.97,-65.76,-19.5,7.49,-99.0,46.73,40.0,1,43.65,Fair
0.155,-97.02,-81.45,-15.55,5.47,-108.01,11.35,23.0,3,43.44,Fair
0.205,-91.14,-69.75,-19.5,11.15,-105.68,18.14,33.0,2,49.59,Fair
0.274,-90.91,-70.62,-19.41,9.23,-104.22,37.4,36.0,3,40.89,Fair
0.692,-100.21,-80.13,-19.35,-10.0,-88.54,66.35,46.0,1,22.95,Poor
0.1,-79.18,-54.43,-19.5,8.72,-95.32,50.81,43.0,1,50.86,Fair
0.325,-92.51,-68.38,-19.5,-6.94,-89.33,68.87,64.0,4,20.01,Poor
0.404,-98.4,-78.33,-19.5,-8.24,-95.62,48.16,60.0,1,23.27,Poor
0.021,-80.31,-60.61,-18.44,7.29,-88.79,74.06,61.0,1,39.4,Fair
0.421,-97.45,-76.21,-19.5,3.45,-105.7,12.2,32.0,4,46.39,Fair
0.084,-78.49,-62.24,-15.65,,-98.06,31.67,44.0,2,61.72,Good
0.03,-75.47,-59.18,-13.79,17.5,-101.13,34.44,42.0,0,70.28,Good
1.338,-106.42,-86.4,-18.89,-8.92,-103.98,21.74,29.0,2,26.8,Poor
1.517,-105.94,-90.51,-13.75,-10.0,-94.9,67.68,48.0,1,28.98,Poor
0.744,-105.5,-85.72,-18.92,-7.46,-102.42,31.16,43.0,2,28.65,Poor
0.163,-85.83,-67.36,-16.98,1.38,-92.27,62.64,49.0,1,32.39,Poor
0.046,-70.94,-55.51,-15.36,28.33,-102.84,32.46,32.0,3,70.84,Good
0.519,-99.01,-80.93,-17.79,3.84,-107.93,18.82,32.0,1,42.5,Fair
0.261,-96.88,-74.97,-19.5,-3.2,-98.67,31.51,35.0,2,28.12,Poor
0.059,-79.77,-61.52,-18.35,7.23,-91.51,72.91,63.0,3,42.91,Fair
0.308,-102.69,-84.43,-18.7,-10.0,-97.12,50.74,51.0,0,14.6,Poor
0.02,-69.1,-50.11,-18.7,29.57,-101.32,16.83,25.0,1,68.72,Good
1.08,-102.87,-83.49,-19.5,-8.03,-101.2,52.47,55.0,0,23.44,Poor
0.135,-79.95,-62.95,-16.98,3.53,-90.93,66.53,59.0,4,39.56,Fair
0.489,-98.58,-79.53,-19.5,3.33,-106.42,29.6,37.0,2,30.66,Poor
0.168,-86.93,-72.08,-14.27,13.9,-106.55,33.47,31.0,0,55.64,Good
0.33,-97.85,-82.25,-14.33,-5.0,-99.08,45.49,53.0,2,36.61,Fair
